source_text;ipa
anndal-guurndam;a n n d a l - ɡ uː r n d a m
anndanan;a n n d a n a n
anndande;a n n d a n d e
anndin-a;a n n d i n - a
anndinde;a n n d i n d e
anndingol;a n n d i ŋ ɡ o l
anndinoore;a n n d i n oː r e
anndintinde;a n n d i n t i n d e
annditinde;a n n d i t i n d e
annditinnde;a n n d i t i n n d e
annditirɗum;a n n d i t i r ɗ u m
anndude;a n n d u d e
annduɗo;a n n d u ɗ o
anndugol ko waroyta;a n n d u ɡ o l   k o   w a r o j t a
anniya;a n n i j a
anniya ɓantaare yimɓe;a n n i j a   ɓ a n t aː r e   j i m ɓ e
anniyaade;a n n i j aː d e
anniyaaji;a n n i j aː ɟ i
annjaari;a n n ɟ aː r i
annoora;a n n oː r a
annuura;a n n uː r a
annyeeje;a n n j eː ɟ e
annyeere;a n n j eː r e
anon;a n o n
antarpiriisi;a n t a r p i r iː s i
antibiyotik;a n t i b i j o t i k
antibiyotikki;a n t i b i j o t i k k i
Antiyoki;a n t i j o k i
anweloppi;a n w e l o p p i
ar;a r
ara;a r a
araare;a r aː r e
araawa;a r aː w a
araawa mbaaneewa;a r aː w a   m b aː n eː w a
araawu;a r aː w u
aranal;a r a n a l
aranbaanaawa;a r a n b aː n aː w a
arande;a r a n d e
arandejum;a r a n d e ɟ u m
aranel;a r a n e l
arannde;a r a n n d e
arano;a r a n o
ardaade;a r d aː d e
ardiiɗo;a r d iː ɗ o
ardinaaɗo;a r d i n aː ɗ o
arditagol;a r d i t a ɡ o l
arditagol waɗa goɗɗum;a r d i t a ɡ o l   w a ɗ a   ɡ o ɗ ɗ u m
ardo;a r d o
arɗo;a r ɗ o
Arɗo;a r ɗ o
ari;a r i
ariimo;a r iː m o
arkilla;a r k i l l a
armanga;a r m a ŋ ɡ a
arminaat;a r m i n aː t
armoro;a r m o r o
arondirngol;a r o n d i r ŋ ɡ o l
artaade;a r t aː d e
artaade haalana;a r t aː d e   h aː l a n a
artude;a r t u d e
arude;a r u d e
arzinkinde;a r z i n k i n d e
arzuke;a r z u k e
arzukeede;a r z u k eː d e
Asaf;a s a f
asama;a s a m a
asangal;a s a ŋ ɡ a l
Asaweere;a s a w eː r e
Asay;a s a j
asayre;a s a j r e
Ase;a s e
aseere;a s eː r e
ass;a s s
Asuri;a s u r i
Asurinkoore;a s u r i n k oː r e
atiimi;a t iː m i
aykaade;a j k aː d e
aykagol;a j k a ɡ o l
ayko;a j k o
aykondirol;a j k o n d i r o l
ayminde;a j m i n d e
aynaade;a j n aː d e
ayyaa;a j j aː
ayyo;a j j o
Ayyuuba;a j j uː b a
ba;b a
ba de;b a   d e
ba se;b a   s e
ba'ajol;b a ʔ a ɟ o l
baa ɓaade;b aː   ɓ aː d e
baa galle;b aː   ɡ a l l e
baaba;b aː b a
Baabiila;b aː b iː l a
baabiiwo;b aː b iː w o
Baabiiwo;b aː b iː w o
Baabilankoore;b aː b i l a n k oː r e
baade;b aː d e
baaɗe;b aː ɗ e
baaɗi;b aː ɗ i
baaɗiiwo;b aː ɗ iː w o
baaɗiiyo;b aː ɗ iː j o
baafal;b aː f a l
baagi;b aː ɡ i
baajel;b aː ɟ e l
baajel-tergal;b aː ɟ e l - t e r ɡ a l
baajol;b aː ɟ o l
baakol;b aː k o l
baala;b aː l a
baalal;b aː l a l
baaldal;b aː l d a l
ba;b a
ba de;b a   d e
ba se;b a   s e
ba'ajol;b a ʔ a ɟ o l
baa ɓaade;b aː   ɓ aː d e
baa galle;b aː   ɡ a l l e
baaba;b aː b a
Baabiila;b aː b iː l a
baabiiwo;b aː b iː w o
Baabiiwo;b aː b iː w o
Baabilankoore;b aː b i l a n k oː r e
baade;b aː d e
baaɗe;b aː ɗ e
baaɗi;b aː ɗ i
baaɗiiwo;b aː ɗ iː w o
baaɗiiyo;b aː ɗ iː j o
baafal;b aː f a l
baagi;b aː ɡ i
baajel;b aː ɟ e l
baajel-tergal;b aː ɟ e l - t e r ɡ a l
baajol;b aː ɟ o l
baakol;b aː k o l
baala;b aː l a
baalal;b aː l a l
baaldal;b aː l d a l
baali;b aː l i
baalibaaliijo;b aː l i b aː l iː ɟ o
baaliga;b aː l i ɡ a
baaligaade;b aː l i ɡ aː d e
baaligeede;b aː l i ɡ eː d e
baaligi;b aː l i ɡ i
baalijum;b aː l i ɟ u m
baalle;b aː l l e
baalu;b aː l u
baalu debbo;b aː l u   d e b b o
baalu-yitere;b aː l u - j i t e r e
baamle;b aː m l e
baamngel;b aː m ŋ ɡ e l
baanaade;b aː n aː d e
baantaade;b aː n t aː d e
baantinooje;b aː n t i n oː ɟ e
baanyaade;b aː n j aː d e
baanyaaru;b aː n j aː r u
baasal;b aː s a l
baasi;b aː s i
baatal;b aː t a l
baatoraaɗo;b aː t o r aː ɗ o
baawal;b aː w a l
baawɗe;b aː w ɗ e
Baawɗo;b aː w ɗ o
baawɗo golle;b aː w ɗ o   ɡ o l l e
baawe;b aː w e
baawol;b aː w o l
baɓɓati luuɓuɗi;b a ɓ ɓ a t i   l uː ɓ u ɗ i
badaadi;b a d aː d i
baddo;b a d d o
badullaahi;b a d u l l aː h i
baɗal;b a ɗ a l
baɗɗiiɗo;b a ɗ ɗ iː ɗ o
baɗɗo;b a ɗ ɗ o
baɗeteengal;b a ɗ e t eː ŋ ɡ a l
baɗoowal;b a ɗ oː w a l
baɗtugol;b a ɗ t u ɡ o l
bagaajo;b a ɡ aː ɟ o
bagana jeeni;b a ɡ a n a   ɟ eː n i
baggol;b a ɡ ɡ o l
baggu;b a ɡ ɡ u
bagi;b a ɡ i
bahaade;b a h aː d e
bahiima;b a h iː m a
bahillo;b a h i l l o
baka;b a k a
bakiili;b a k iː l i
bakka;b a k k a
bakkaade;b a k k aː d e
bakkaale;b a k k aː l e
bakke;b a k k e
bakkilal;b a k k i l a l
bakteeri;b a k t eː r i
balaa'u;b a l aː ʔ u
balaaje;b a l aː ɟ e
balaalawal;b a l aː l a w a l
balaasa;b a l aː s a
balangol;b a l a ŋ ɡ o l
balangol Lahel Buraagi;b a l a ŋ ɡ o l   l a h e l   b u r aː ɡ i
balawal;b a l a w a l
balawal cilɓungal;b a l a w a l   c i l ɓ u ŋ ɡ a l
balayel;b a l a j e l
balbatuhi;b a l b a t u h i
balbe;b a l b e
balɗe;b a l ɗ e
balgaade;b a l ɡ aː d e
baliihi;b a l iː h i
balku;b a l k u
balla;b a l l a
ballitaari;b a l l i t aː r i
ballo;b a l l o
ballo golloowo bonnde;b a l l o   ɡ o l l oː w o   b o n n d e
ballondiral;b a l l o n d i r a l
ballowudduwol;b a l l o w u d d u w o l
ballowudduwol  ɗuuɗal;b a l l o w u d d u w o l     ɗ uː ɗ a l
ballowudduwol mbaadi;b a l l o w u d d u w o l   m b aː d i
ballowudduwol wakkati;b a l l o w u d d u w o l   w a k k a t i
balnande;b a l n a n d e
balnaneede;b a l n a n eː d e
balnol;b a l n o l
balol;b a l o l
bambara;b a m b a r a
bambiraande;b a m b i r aː n d e
bami;b a m i
bammbeede;b a m m b eː d e
bammbol;b a m m b o l
bammbowa jahe;b a m m b o w a   ɟ a h e
bammbude;b a m m b u d e
bamngel;b a m ŋ ɡ e l
bananuuhi;b a n a n uː h i
bani;b a n i
bankari;b a n k a r i
bankuure;b a n k uː r e
banndakuu;b a n n d a k uː
banndande;b a n n d a n d e
banndaneede;b a n n d a n eː d e
banndi;b a n n d i
banndii;b a n n d iː
banndiiwo;b a n n d iː w o
banndiyo;b a n n d i j o
banndo ciɓitel;b a n n d o   c i ɓ i t e l
banndol;b a n n d o l
banndude;b a n n d u d e
banngal haala;b a n ŋ ɡ a l   h aː l a
bannge;b a n ŋ ɡ e
bannjaale;b a n n ɟ aː l e
bannjaruwal;b a n n ɟ a r u w a l
banŋeere;b a n ŋ eː r e
bantakuure;b a n t a k uː r e
baŋŋe;b a ŋ ŋ e
bappaanjo;b a p p aː n ɟ o
baraaji;b a r aː ɟ i
baraasi;b a r aː s i
baraasiiji;b a r aː s iː ɟ i
barbar;b a r b a r
barbiwol;b a r b i w o l
barga;b a r ɡ a
barganyay;b a r ɡ a n j a j
bargiwol;b a r ɡ i w o l
bargooru;b a r ɡ oː r u
barguwal;b a r ɡ u w a l
baridam;b a r i d a m
barigal;b a r i ɡ a l
barjaade;b a r ɟ aː d e
barjeede;b a r ɟ eː d e
barkari1;b a r k a r i 1
barkari2;b a r k a r i 2
barke;b a r k e
Barkè;b a r k e ̀
barkerey;b a r k e r e j
barkinde;b a r k i n d e
barkineede;b a r k i n eː d e
barkitaade;b a r k i t aː d e
barma;b a r m a
barmere;b a r m e r e
barminde;b a r m i n d e
barmineede;b a r m i n eː d e
barmini;b a r m i n i
barmitaade;b a r m i t aː d e
barmude;b a r m u d e
baroowo;b a r oː w o
barraadu;b a r r aː d u
barrol;b a r r o l
barsaade;b a r s aː d e
Bartolome;b a r t o l o m e
basaade;b a s aː d e
basaka;b a s a k a
basi;b a s i
basirgal;b a s i r ɡ a l
basu;b a s u
bataaru;b a t aː r u
batala;b a t a l a
batidal;b a t i d a l
batidinde;b a t i d i n d e
batirde;b a t i r d e
batta;b a t t a
battaa;b a t t aː
battaade;b a t t aː d e
battaan;b a t t aː n
battaare;b a t t aː r e
battaare sariya;b a t t aː r e   s a r i j a
battal;b a t t a l
battane gooto;b a t t a n e   ɡ oː t o
batte;b a t t e
batu;b a t u
batu agusame;b a t u   a ɡ u s a m e
batu battaa en;b a t u   b a t t aː   e n
batu kuuɓuɗo;b a t u   k uː ɓ u ɗ o
batu tafirɗo;b a t u   t a f i r ɗ o
batu tinndinoowu;b a t u   t i n n d i n oː w u
batude;b a t u d e
batwar;b a t w a r
bawlaaje;b a w l aː ɟ e
bawle;b a w l e
bawle bulɗe;b a w l e   b u l ɗ e
bawli;b a w l i
bawlirde;b a w l i r d e
bawlirdu;b a w l i r d u
bawlirgol;b a w l i r ɡ o l
bawlude;b a w l u d e
bawluɗo ɓernde;b a w l u ɗ o   ɓ e r n d e
Bawro;b a w r o
bawuuru;b a w uː r u
bayeeri;b a j eː r i
bayillo;b a j i l l o
baylagol;b a j l a ɡ o l
baylugol;b a j l u ɡ o l
baymaanaawol;b a j m aː n aː w o l
baymaanawal;b a j m aː n a w a l
baytuwol;b a j t u w o l
be'a;b e ʔ a
be'al;b e ʔ a l
be'i;b e ʔ i
becca;b e c c a
becce1;b e c c e 1
becce2;b e c c e 2
bedaade;b e d aː d e
bedda;b e d d a
bedorgal;b e d o r ɡ a l
bedude;b e d u d e
beɗu;b e ɗ u
beebeejo;b eː b eː ɟ o
beebeneeji;b eː b e n eː ɟ i
beebiɗinde;b eː b i ɗ i n d e
beege diina;b eː ɡ e   d iː n a
beegeede;b eː ɡ eː d e
beegude;b eː ɡ u d e
beeli;b eː l i
beelu;b eː l u
beembal;b eː m b a l
beembal gawri wuro;b eː m b a l   ɡ a w r i   w u r o
beembal gollitirgal;b eː m b a l   ɡ o l l i t i r ɡ a l
beeranaaɗo;b eː r a n aː ɗ o
beeri;b eː r i
beerka;b eː r k a
beero;b eː r o
Beerseba;b eː r s e b a
beetee;b eː t eː
belaade;b e l aː d e
belɗo;b e l ɗ o
bele;b e l e
belirka;b e l i r k a
Belko;b e l k o
Bellaajo;b e l l aː ɟ o
buuru;b uː r u
buuru maasa;b uː r u   m aː s a
buuse;b uː s e
buuta;b uː t a
buutol;b uː t o l
buutorgel;b uː t o r ɡ e l
buuwaangol;b uː w aː ŋ ɡ o l
buuwtorgal;b uː w t o r ɡ a l
buy;b u j
buyakkaahi;b u j a k k aː h i
buyakkaare;b u j a k k aː r e
buykaade;b u j k aː d e
buykeede;b u j k eː d e
buykol;b u j k o l
buykude;b u j k u d e
bƴuwoonde;b ʔʲ u w oː n d e
ɓaade;ɓ aː d e
ɓaanaade;ɓ aː n aː d e
ɓaaraade;ɓ aː r aː d e
ɓaare;ɓ aː r e
ɓaareede;ɓ aː r eː d e
ɓaari;ɓ aː r i
ɓaaru;ɓ aː r u
ɓaarude;ɓ aː r u d e
ɓaatane;ɓ aː t a n e
ɓaawo1;ɓ aː w o 1
ɓaawo2;ɓ aː w o 2
ɓaawo silɓungo;ɓ aː w o   s i l ɓ u ŋ ɡ o
ɓaaƴude;ɓ aː ʔʲ u d e
ɓadaade;ɓ a d aː d e
ɓadiiɗum;ɓ a d iː ɗ u m
ɓadondirde;ɓ a d o n d i r d e
ɓaggaade;ɓ a ɡ ɡ aː d e
ɓaggeede;ɓ a ɡ ɡ eː d e
ɓaggude;ɓ a ɡ ɡ u d e
ɓahanaade;ɓ a h a n aː d e
ɓaleejo;ɓ a l eː ɟ o
ɓaleeri yitere;ɓ a l eː r i   j i t e r e
ɓalinaade;ɓ a l i n aː d e
ɓalinde;ɓ a l i n d e
ɓalli;ɓ a l l i
ɓaade;ɓ aː d e
ɓaanaade;ɓ aː n aː d e
ɓaaraade;ɓ aː r aː d e
ɓaare;ɓ aː r e
ɓaareede;ɓ aː r eː d e
ɓaari;ɓ aː r i
ɓaaru;ɓ aː r u
ɓaarude;ɓ aː r u d e
ɓaatane;ɓ aː t a n e
ɓaawo1;ɓ aː w o 1
ɓaawo2;ɓ aː w o 2
ɓaawo silɓungo;ɓ aː w o   s i l ɓ u ŋ ɡ o
ɓaaƴude;ɓ aː ʔʲ u d e
ɓadaade;ɓ a d aː d e
ɓadiiɗum;ɓ a d iː ɗ u m
ɓadondirde;ɓ a d o n d i r d e
ɓaggaade;ɓ a ɡ ɡ aː d e
ɓaggeede;ɓ a ɡ ɡ eː d e
ɓaggude;ɓ a ɡ ɡ u d e
ɓahanaade;ɓ a h a n aː d e
ɓaleejo;ɓ a l eː ɟ o
ɓaleeri yitere;ɓ a l eː r i   j i t e r e
ɓalinaade;ɓ a l i n aː d e
ɓalinde;ɓ a l i n d e
ɓalli;ɓ a l l i
ɓamt-a;ɓ a m t - a
ɓamto;ɓ a m t o
ɓamtude;ɓ a m t u d e
ɓangal;ɓ a ŋ ɡ a l
ɓangande;ɓ a ŋ ɡ a n d e
ɓanginde;ɓ a ŋ ɡ i n d e
ɓangude;ɓ a ŋ ɡ u d e
ɓanndu;ɓ a n n d u
ɓanndu njanandu;ɓ a n n d u   n ɟ a n a n d u
ɓanndujam;ɓ a n n d u ɟ a m
ɓannge;ɓ a n ŋ ɡ e
ɓannginde;ɓ a n ŋ ɡ i n d e
ɓannude;ɓ a n n u d e
ɓantaade;ɓ a n t aː d e
ɓantaare;ɓ a n t aː r e
ɓantaare ɓiɓɓe aadama en;ɓ a n t aː r e   ɓ i ɓ ɓ e   aː d a m a   e n
ɓantaare faro masinaaji gollitirɗi;ɓ a n t aː r e   f a r o   m a s i n aː ɟ i   ɡ o l l i t i r ɗ i
ɓantaare haɓɓondirnde e gollitirɗi;ɓ a n t aː r e   h a ɓ ɓ o n d i r n d e   e   ɡ o l l i t i r ɗ i
ɓantaare haɓɓondirnde e wallondirnde;ɓ a n t aː r e   h a ɓ ɓ o n d i r n d e   e   w a l l o n d i r n d e
ɓantaare riiku;ɓ a n t aː r e   r iː k u
ɓantaare tabitoore;ɓ a n t aː r e   t a b i t oː r e
ɓantaare yimɓe;ɓ a n t aː r e   j i m ɓ e
ɓantoragol dow ko ƴuuri gere;ɓ a n t o r a ɡ o l   d o w   k o   ʔʲ uː r i   ɡ e r e
ɓantoragol hoorem;ɓ a n t o r a ɡ o l   h oː r e m
ɓantude;ɓ a n t u d e
ɓaŋeede;ɓ a ŋ eː d e
ɓaŋinde;ɓ a ŋ i n d e
ɓaŋude;ɓ a ŋ u d e
ɓarsuwol;ɓ a r s u w o l
ɓataaki;ɓ a t aː k i
ɓati;ɓ a t i
ɓatitere;ɓ a t i t e r e
ɓattaade;ɓ a t t aː d e
ɓattinde;ɓ a t t i n d e
ɓattondirde;ɓ a t t o n d i r d e
ɓawli;ɓ a w l i
ɓawlinde;ɓ a w l i n d e
ɓawlitinde;ɓ a w l i t i n d e
ɓawlude;ɓ a w l u d e
ɓayude;ɓ a j u d e
ɓe1;ɓ e 1
ɓe2;ɓ e 2
ɓe3;ɓ e 3
ɓe fuu ɓe;ɓ e   f uː   ɓ e
ɓe kala ɓe;ɓ e   k a l a   ɓ e
ɓeeɓtude;ɓ eː ɓ t u d e
ɓeeɓude;ɓ eː ɓ u d e
ɓeeɓugol;ɓ eː ɓ u ɡ o l
ɓeernde;ɓ eː r n d e
ɓeernde heccere;ɓ eː r n d e   h e c c e r e
ɓellellu;ɓ e l l e l l u
ɓellere;ɓ e l l e r e
ɓenaade;ɓ e n aː d e
ɓenkiɗinde;ɓ e n k i ɗ i n d e
ɓenkinaade;ɓ e n k i n aː d e
ɓenndinde;ɓ e n n d i n d e
ɓenndude;ɓ e n n d u d e
ɓennuɗo;ɓ e n n u ɗ o
ɓerɗe;ɓ e r ɗ e
ɓernande;ɓ e r n a n d e
ɓernde;ɓ e r n d e
ɓerninde;ɓ e r n i n d e
ɓernude;ɓ e r n u d e
ɓerol;ɓ e r o l
ɓet-a;ɓ e t - a
ɓeta;ɓ e t a
ɓetannde;ɓ e t a n n d e
ɓeto;ɓ e t o
ɓeturu;ɓ e t u r u
ɓeydaade;ɓ e j d aː d e
ɓeydaari1;ɓ e j d aː r i 1
ɓeydaari2;ɓ e j d aː r i 2
ɓeydaari riiku;ɓ e j d aː r i   r iː k u
ɓeydaari yimɓe;ɓ e j d aː r i   j i m ɓ e
ɓeyditaa;ɓ e j d i t aː
ɓeyditata;ɓ e j d i t a t a
ɓeyditel;ɓ e j d i t e l
ɓeydol;ɓ e j d o l
ɓeydol caggal;ɓ e j d o l   c a ɡ ɡ a l
ɓeydol yeeso;ɓ e j d o l   j eː s o
ɓeydondirde;ɓ e j d o n d i r d e
ɓeydondirgol;ɓ e j d o n d i r ɡ o l
ɓeydude;ɓ e j d u d e
ɓeyɗo;ɓ e j ɗ o
ɓeye;ɓ e j e
ɓeyndondiral;ɓ e j n d o n d i r a l
ɓeyngu1;ɓ e j ŋ ɡ u 1
ɓeyngu2;ɓ e j ŋ ɡ u 2
ɓeynude;ɓ e j n u d e
ɓeynugol;ɓ e j n u ɡ o l
ɓeƴƴirgal;ɓ e ʔʲ ʔʲ i r ɡ a l
ɓeƴƴondir-a e;ɓ e ʔʲ ʔʲ o n d i r - a   e
ɓiɓɓam yitere;ɓ i ɓ ɓ a m   j i t e r e
ɓiɓɓe;ɓ i ɓ ɓ e
ɓiɓɓe bappinyaaɓe;ɓ i ɓ ɓ e   b a p p i n j aː ɓ e
ɓiɓɓe jawngal;ɓ i ɓ ɓ e   ɟ a w ŋ ɡ a l
ɓiɓɓe leɗɗe;ɓ i ɓ ɓ e   l e ɗ ɗ e
ɓiɓɓe lu’ooji jonngaaɗi niisaa;ɓ i ɓ ɓ e   l u ’ oː ɟ i   ɟ o n ŋ ɡ aː ɗ i   n iː s aː
ɓiɓɓe nyaw;ɓ i ɓ ɓ e   n j a w
ɓiɗɗam hitere;ɓ i ɗ ɗ a m   h i t e r e
ɓiɗɗam yitere;ɓ i ɗ ɗ a m   j i t e r e
ɓiɗɗo;ɓ i ɗ ɗ o
ɓiɗɗo bonɗo;ɓ i ɗ ɗ o   b o n ɗ o
ɓiɗɗo debbo;ɓ i ɗ ɗ o   d e b b o
ɓiɗɗo gorko;ɓ i ɗ ɗ o   ɡ o r k o
ɓii;ɓ iː
ɓii aadama;ɓ iː   aː d a m a
ɓii bappaanyo;ɓ iː   b a p p aː n j o
ɓii ɓernde;ɓ iː   ɓ e r n d e
ɓii foondu;ɓ iː   f oː n d u
ɓii ladde;ɓ iː   l a d d e
ɓii lekki;ɓ iː   l e k k i
ɓii mani;ɓ iː   m a n i
ɓii mbe'eewa;ɓ iː   m b e ʔ eː w a
ɓii nyawu;ɓ iː   n j a w u
ɓii padaaladaal;ɓ iː   p a d aː l a d aː l
ɓii yitere;ɓ iː   j i t e r e
ɓii-afirikki;ɓ iː - a f i r i k k i
ɓii-leydi;ɓ iː - l e j d i
ɓii-leydiyaaku;ɓ iː - l e j d i j aː k u
ɓii-leydiyankaaku;ɓ iː - l e j d i j a n k aː k u
ɓii-nowru;ɓ iː - n o w r u
ɓii-nyaw;ɓ iː - n j a w
ɓii-nyaw cattuɗo;ɓ iː - n j a w   c a t t u ɗ o
ɓii-ƴiiƴam;ɓ iː - ʔʲ iː ʔʲ a m
ɓii-ƴiiƴam boɗewel;ɓ iː - ʔʲ iː ʔʲ a m   b o ɗ e w e l
ɓii-ƴiiƴam danewel;ɓ iː - ʔʲ iː ʔʲ a m   d a n e w e l
ɓiirorgel;ɓ iː r o r ɡ e l
ɓiirtude;ɓ iː r t u d e
ɓiirude;ɓ iː r u d e
ɓikkoy;ɓ i k k o j
